
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 14:53:42,819] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,078] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,471] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,687] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,134] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,347] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,876] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,403] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,720] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,930] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2593, time 15638.48ms, mfu -100.00%
iter 10: loss 3.3449, time 42.09ms, mfu 8.85%
iter 20: loss 2.9084, time 41.90ms, mfu 8.86%
iter 30: loss 2.7106, time 41.51ms, mfu 8.87%
iter 40: loss 2.6293, time 43.16ms, mfu 8.85%
iter 50: loss 2.5772, time 43.19ms, mfu 8.82%
iter 60: loss 2.5448, time 43.19ms, mfu 8.80%
iter 70: loss 2.5325, time 41.68ms, mfu 8.82%
iter 80: loss 2.5306, time 41.92ms, mfu 8.82%
iter 90: loss 2.5050, time 41.45ms, mfu 8.84%
iter 100: loss 2.5004, time 41.94ms, mfu 8.85%
iter 110: loss 2.4979, time 42.99ms, mfu 8.83%
iter 120: loss 2.4676, time 41.88ms, mfu 8.83%
iter 130: loss 2.4556, time 41.50ms, mfu 8.85%
iter 140: loss 2.4614, time 41.54ms, mfu 8.86%
iter 150: loss 2.4786, time 41.49ms, mfu 8.87%
iter 160: loss 2.4490, time 41.43ms, mfu 8.89%
iter 170: loss 2.4366, time 41.85ms, mfu 8.89%
iter 180: loss 2.4374, time 41.79ms, mfu 8.89%
iter 190: loss 2.4228, time 41.70ms, mfu 8.89%
iter 200: loss 2.4068, time 41.51ms, mfu 8.90%
iter 210: loss 2.3863, time 41.64ms, mfu 8.91%
iter 220: loss 2.4094, time 41.90ms, mfu 8.91%
iter 230: loss 2.3771, time 41.50ms, mfu 8.91%
iter 240: loss 2.3849, time 41.50ms, mfu 8.92%
step 250: train loss 2.3032, val loss 2.3472
saving checkpoint to perp
iter 250: loss 2.3546, time 6609.69ms, mfu 8.03%
iter 260: loss 2.3352, time 41.85ms, mfu 8.12%
iter 270: loss 2.3239, time 41.45ms, mfu 8.21%
iter 280: loss 2.3295, time 41.58ms, mfu 8.28%
iter 290: loss 2.2752, time 41.77ms, mfu 8.35%
iter 300: loss 2.2821, time 41.83ms, mfu 8.40%
iter 310: loss 2.2791, time 41.48ms, mfu 8.46%
iter 320: loss 2.2473, time 41.65ms, mfu 8.51%
iter 330: loss 2.2129, time 41.45ms, mfu 8.56%
iter 340: loss 2.1906, time 41.53ms, mfu 8.60%
iter 350: loss 2.2168, time 41.46ms, mfu 8.64%
iter 360: loss 2.1654, time 43.18ms, mfu 8.64%
iter 370: loss 2.1273, time 41.76ms, mfu 8.67%
iter 380: loss 2.1037, time 43.03ms, mfu 8.66%
iter 390: loss 2.1069, time 41.60ms, mfu 8.69%
iter 400: loss 2.1031, time 41.73ms, mfu 8.72%
iter 410: loss 2.0543, time 41.75ms, mfu 8.74%
iter 420: loss 2.0692, time 41.47ms, mfu 8.76%
iter 430: loss 2.0361, time 41.92ms, mfu 8.78%
iter 440: loss 1.9913, time 41.90ms, mfu 8.79%
iter 450: loss 1.9928, time 41.79ms, mfu 8.80%
iter 460: loss 1.9330, time 41.49ms, mfu 8.82%
iter 470: loss 1.9849, time 41.53ms, mfu 8.83%
iter 480: loss 1.9301, time 41.50ms, mfu 8.85%
iter 490: loss 1.9090, time 41.82ms, mfu 8.85%
step 500: train loss 1.8300, val loss 1.9867
saving checkpoint to perp
iter 500: loss 1.9066, time 4920.16ms, mfu 7.98%
iter 510: loss 1.9077, time 41.92ms, mfu 8.07%
iter 520: loss 1.8844, time 41.54ms, mfu 8.16%
iter 530: loss 1.8549, time 41.58ms, mfu 8.24%
iter 540: loss 1.8902, time 41.54ms, mfu 8.31%
iter 550: loss 1.8333, time 41.53ms, mfu 8.38%
iter 560: loss 1.8333, time 41.60ms, mfu 8.44%
iter 570: loss 1.8295, time 41.57ms, mfu 8.49%
iter 580: loss 1.8216, time 41.59ms, mfu 8.54%
iter 590: loss 1.7679, time 41.53ms, mfu 8.58%
iter 600: loss 1.7838, time 41.57ms, mfu 8.62%
iter 610: loss 1.7966, time 41.86ms, mfu 8.65%
iter 620: loss 1.7690, time 41.58ms, mfu 8.68%
iter 630: loss 1.7763, time 41.95ms, mfu 8.70%
iter 640: loss 1.7231, time 41.94ms, mfu 8.72%
iter 650: loss 1.7466, time 43.15ms, mfu 8.71%
iter 660: loss 1.7445, time 41.48ms, mfu 8.74%
iter 670: loss 1.6830, time 43.20ms, mfu 8.73%
iter 680: loss 1.7378, time 41.84ms, mfu 8.74%
iter 690: loss 1.7050, time 42.00ms, mfu 8.76%
iter 700: loss 1.7067, time 41.92ms, mfu 8.77%
iter 710: loss 1.6784, time 41.66ms, mfu 8.79%
iter 720: loss 1.6648, time 41.61ms, mfu 8.80%
iter 730: loss 1.6524, time 41.56ms, mfu 8.82%
iter 740: loss 1.6304, time 41.60ms, mfu 8.83%
step 750: train loss 1.5496, val loss 1.7424
saving checkpoint to perp
iter 750: loss 1.6412, time 5019.80ms, mfu 7.96%
iter 760: loss 1.6480, time 41.75ms, mfu 8.05%
iter 770: loss 1.6468, time 41.80ms, mfu 8.14%
iter 780: loss 1.6404, time 41.55ms, mfu 8.22%
iter 790: loss 1.6269, time 41.61ms, mfu 8.30%
iter 800: loss 1.6349, time 41.56ms, mfu 8.36%
iter 810: loss 1.6078, time 41.56ms, mfu 8.42%
iter 820: loss 1.6138, time 41.84ms, mfu 8.47%
iter 830: loss 1.5930, time 41.57ms, mfu 8.52%
iter 840: loss 1.6106, time 41.80ms, mfu 8.56%
iter 850: loss 1.5895, time 41.73ms, mfu 8.60%
iter 860: loss 1.5962, time 41.67ms, mfu 8.63%
iter 870: loss 1.5989, time 41.53ms, mfu 8.67%
iter 880: loss 1.5745, time 41.55ms, mfu 8.70%
iter 890: loss 1.5777, time 41.53ms, mfu 8.72%
iter 900: loss 1.5788, time 41.58ms, mfu 8.75%
iter 910: loss 1.5169, time 41.64ms, mfu 8.77%
iter 920: loss 1.5536, time 41.64ms, mfu 8.79%
iter 930: loss 1.5488, time 41.59ms, mfu 8.80%
iter 940: loss 1.5366, time 41.61ms, mfu 8.82%
iter 950: loss 1.5481, time 41.61ms, mfu 8.83%
iter 960: loss 1.5541, time 42.06ms, mfu 8.83%
iter 970: loss 1.5585, time 41.55ms, mfu 8.85%
iter 980: loss 1.5466, time 42.08ms, mfu 8.85%
iter 990: loss 1.5334, time 41.57ms, mfu 8.86%
step 1000: train loss 1.4357, val loss 1.6374
saving checkpoint to perp
iter 1000: loss 1.5143, time 4978.90ms, mfu 7.98%
iter 1010: loss 1.5235, time 41.54ms, mfu 8.08%
iter 1020: loss 1.4915, time 42.00ms, mfu 8.16%
iter 1030: loss 1.5322, time 41.55ms, mfu 8.24%
iter 1040: loss 1.5413, time 41.59ms, mfu 8.31%
iter 1050: loss 1.4732, time 42.91ms, mfu 8.35%
iter 1060: loss 1.5252, time 42.03ms, mfu 8.40%
iter 1070: loss 1.5213, time 42.09ms, mfu 8.45%
iter 1080: loss 1.5220, time 43.26ms, mfu 8.46%
iter 1090: loss 1.5300, time 43.12ms, mfu 8.48%
iter 1100: loss 1.5055, time 41.60ms, mfu 8.53%
