
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:02:11,329] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:11,601] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:12,014] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:12,226] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:12,671] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:12,884] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:13,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:13,419] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:13,738] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:13,950] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:14,268] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:02:14,480] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2593, time 15187.96ms, mfu -100.00%
iter 10: loss 3.3704, time 42.36ms, mfu 8.80%
iter 20: loss 3.2183, time 42.47ms, mfu 8.79%
iter 30: loss 2.9654, time 42.40ms, mfu 8.79%
iter 40: loss 2.7920, time 41.21ms, mfu 8.82%
iter 50: loss 2.6733, time 42.56ms, mfu 8.81%
iter 60: loss 2.6130, time 42.51ms, mfu 8.81%
iter 70: loss 2.5841, time 41.49ms, mfu 8.82%
iter 80: loss 2.5740, time 42.43ms, mfu 8.82%
iter 90: loss 2.5223, time 42.56ms, mfu 8.81%
iter 100: loss 2.5214, time 42.40ms, mfu 8.81%
iter 110: loss 2.5168, time 41.29ms, mfu 8.83%
iter 120: loss 2.4960, time 41.10ms, mfu 8.86%
iter 130: loss 2.4818, time 41.44ms, mfu 8.87%
iter 140: loss 2.4833, time 42.70ms, mfu 8.86%
iter 150: loss 2.5025, time 41.40ms, mfu 8.87%
