
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:10:37,258] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:37,511] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:37,910] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:38,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:38,568] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:38,783] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:39,110] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:39,332] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:39,648] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:39,857] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:40,255] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:10:40,469] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2479, time 15231.93ms, mfu -100.00%
iter 10: loss 3.4259, time 41.41ms, mfu 9.00%
iter 20: loss 3.3077, time 41.10ms, mfu 9.01%
iter 30: loss 3.0865, time 41.10ms, mfu 9.01%
iter 40: loss 2.8466, time 41.13ms, mfu 9.02%
iter 50: loss 2.7134, time 41.10ms, mfu 9.02%
iter 60: loss 2.6518, time 41.10ms, mfu 9.03%
iter 70: loss 2.6179, time 41.25ms, mfu 9.03%
iter 80: loss 2.6026, time 41.07ms, mfu 9.03%
iter 90: loss 2.5515, time 41.06ms, mfu 9.04%
iter 100: loss 2.5488, time 41.06ms, mfu 9.04%
iter 110: loss 2.5488, time 42.37ms, mfu 9.02%
iter 120: loss 2.5289, time 42.52ms, mfu 8.99%
iter 130: loss 2.5195, time 41.12ms, mfu 9.00%
iter 140: loss 2.5245, time 41.12ms, mfu 9.00%
iter 150: loss 2.5340, time 41.17ms, mfu 9.01%
iter 160: loss 2.5138, time 41.54ms, mfu 9.00%
iter 170: loss 2.4902, time 41.40ms, mfu 9.00%
iter 180: loss 2.5013, time 41.12ms, mfu 9.01%
iter 190: loss 2.4861, time 41.10ms, mfu 9.02%
iter 200: loss 2.4758, time 41.09ms, mfu 9.02%
iter 210: loss 2.4507, time 42.43ms, mfu 9.00%
