
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:20:24,983] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:25,660] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,499] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,717] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,410] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,755] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,325] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,546] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,877] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:29,096] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 17050.68ms, mfu -100.00%
iter 10: loss 3.3446, time 42.14ms, mfu 8.84%
iter 20: loss 2.9849, time 42.35ms, mfu 8.84%
iter 30: loss 2.7622, time 46.08ms, mfu 8.76%
iter 40: loss 2.6548, time 43.16ms, mfu 8.75%
iter 50: loss 2.5859, time 47.96ms, mfu 8.65%
iter 60: loss 2.5527, time 41.02ms, mfu 8.70%
iter 70: loss 2.5368, time 46.76ms, mfu 8.62%
iter 80: loss 2.5338, time 40.95ms, mfu 8.67%
iter 90: loss 2.4945, time 41.40ms, mfu 8.70%
iter 100: loss 2.4913, time 43.87ms, mfu 8.68%
iter 110: loss 2.4879, time 42.51ms, mfu 8.69%
iter 120: loss 2.4624, time 42.57ms, mfu 8.70%
iter 130: loss 2.4538, time 42.89ms, mfu 8.70%
iter 140: loss 2.4529, time 42.37ms, mfu 8.71%
iter 150: loss 2.4657, time 42.79ms, mfu 8.71%
iter 160: loss 2.4414, time 42.26ms, mfu 8.72%
iter 170: loss 2.4324, time 41.30ms, mfu 8.75%
iter 180: loss 2.4214, time 48.01ms, mfu 8.65%
iter 190: loss 2.3968, time 41.36ms, mfu 8.68%
iter 200: loss 2.3882, time 44.74ms, mfu 8.65%
iter 210: loss 2.3690, time 40.96ms, mfu 8.69%
iter 220: loss 2.3713, time 41.15ms, mfu 8.73%
iter 230: loss 2.3214, time 52.30ms, mfu 8.57%
iter 240: loss 2.3175, time 43.38ms, mfu 8.57%
step 250: train loss 2.1965, val loss 2.2543
saving checkpoint to perp
iter 250: loss 2.2762, time 6778.40ms, mfu 7.72%
iter 260: loss 2.2285, time 40.98ms, mfu 7.86%
iter 270: loss 2.1980, time 43.40ms, mfu 7.93%
iter 280: loss 2.2051, time 49.95ms, mfu 7.88%
iter 290: loss 2.1314, time 42.55ms, mfu 7.97%
iter 300: loss 2.1190, time 40.81ms, mfu 8.09%
iter 310: loss 2.0937, time 46.30ms, mfu 8.08%
iter 320: loss 2.0669, time 49.88ms, mfu 8.02%
iter 330: loss 2.0325, time 41.15ms, mfu 8.12%
iter 340: loss 1.9985, time 40.81ms, mfu 8.23%
iter 350: loss 2.0290, time 40.81ms, mfu 8.32%
iter 360: loss 1.9720, time 40.83ms, mfu 8.40%
iter 370: loss 1.9452, time 40.80ms, mfu 8.47%
iter 380: loss 1.9322, time 40.86ms, mfu 8.54%
iter 390: loss 1.9391, time 40.96ms, mfu 8.59%
iter 400: loss 1.9519, time 40.92ms, mfu 8.64%
iter 410: loss 1.8875, time 40.85ms, mfu 8.69%
iter 420: loss 1.8951, time 40.93ms, mfu 8.73%
iter 430: loss 1.8820, time 41.25ms, mfu 8.76%
iter 440: loss 1.8364, time 40.85ms, mfu 8.80%
iter 450: loss 1.8341, time 40.86ms, mfu 8.83%
iter 460: loss 1.7767, time 42.04ms, mfu 8.83%
iter 470: loss 1.8344, time 43.66ms, mfu 8.80%
iter 480: loss 1.7925, time 43.31ms, mfu 8.78%
iter 490: loss 1.7857, time 42.05ms, mfu 8.79%
step 500: train loss 1.6793, val loss 1.8602
saving checkpoint to perp
iter 500: loss 1.7704, time 5023.36ms, mfu 7.92%
iter 510: loss 1.7869, time 40.86ms, mfu 8.04%
iter 520: loss 1.7631, time 42.57ms, mfu 8.11%
iter 530: loss 1.7370, time 42.50ms, mfu 8.18%
iter 540: loss 1.7818, time 46.77ms, mfu 8.16%
iter 550: loss 1.7267, time 41.26ms, mfu 8.24%
iter 560: loss 1.7283, time 41.30ms, mfu 8.32%
iter 570: loss 1.7331, time 40.77ms, mfu 8.40%
iter 580: loss 1.7148, time 40.76ms, mfu 8.48%
iter 590: loss 1.6663, time 40.80ms, mfu 8.54%
iter 600: loss 1.6811, time 42.53ms, mfu 8.56%
iter 610: loss 1.6977, time 41.91ms, mfu 8.60%
iter 620: loss 1.6864, time 40.89ms, mfu 8.65%
iter 630: loss 1.6723, time 54.79ms, mfu 8.46%
