
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:33:56,747] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:57,002] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:57,412] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:57,627] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:58,071] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:58,286] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:58,610] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:58,825] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:59,146] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:59,360] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:59,762] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:33:59,972] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 15396.43ms, mfu -100.00%
iter 10: loss 3.3446, time 37.01ms, mfu 10.07%
iter 20: loss 2.9849, time 37.07ms, mfu 10.07%
iter 30: loss 2.7624, time 37.19ms, mfu 10.06%
iter 40: loss 2.6551, time 37.11ms, mfu 10.06%
iter 50: loss 2.5861, time 37.07ms, mfu 10.06%
iter 60: loss 2.5529, time 37.17ms, mfu 10.05%
iter 70: loss 2.5371, time 37.11ms, mfu 10.05%
iter 80: loss 2.5341, time 37.06ms, mfu 10.05%
iter 90: loss 2.4943, time 37.15ms, mfu 10.05%
iter 100: loss 2.4920, time 37.20ms, mfu 10.05%
iter 110: loss 2.4887, time 36.97ms, mfu 10.05%
iter 120: loss 2.4624, time 37.10ms, mfu 10.05%
iter 130: loss 2.4540, time 36.94ms, mfu 10.05%
iter 140: loss 2.4535, time 37.10ms, mfu 10.05%
iter 150: loss 2.4658, time 37.21ms, mfu 10.05%
iter 160: loss 2.4404, time 37.01ms, mfu 10.05%
iter 170: loss 2.4334, time 37.19ms, mfu 10.05%
iter 180: loss 2.4253, time 37.19ms, mfu 10.05%
iter 190: loss 2.3972, time 37.09ms, mfu 10.05%
iter 200: loss 2.3836, time 37.25ms, mfu 10.04%
iter 210: loss 2.3731, time 37.09ms, mfu 10.04%
iter 220: loss 2.3712, time 37.12ms, mfu 10.04%
iter 230: loss 2.3224, time 37.31ms, mfu 10.04%
iter 240: loss 2.3113, time 37.08ms, mfu 10.04%
step 250: train loss 2.1878, val loss 2.2458
saving checkpoint to perp
iter 250: loss 2.2666, time 6607.37ms, mfu 9.04%
iter 260: loss 2.2277, time 37.13ms, mfu 9.14%
iter 270: loss 2.1946, time 37.15ms, mfu 9.23%
iter 280: loss 2.2035, time 37.11ms, mfu 9.31%
iter 290: loss 2.1307, time 37.13ms, mfu 9.38%
iter 300: loss 2.1160, time 37.13ms, mfu 9.45%
iter 310: loss 2.0838, time 37.18ms, mfu 9.50%
iter 320: loss 2.0617, time 37.16ms, mfu 9.56%
iter 330: loss 2.0338, time 37.17ms, mfu 9.60%
iter 340: loss 1.9957, time 38.58ms, mfu 9.61%
iter 350: loss 2.0296, time 37.18ms, mfu 9.65%
iter 360: loss 1.9682, time 37.11ms, mfu 9.69%
iter 370: loss 1.9484, time 37.13ms, mfu 9.72%
iter 380: loss 1.9293, time 37.16ms, mfu 9.75%
iter 390: loss 1.9311, time 37.29ms, mfu 9.78%
iter 400: loss 1.9443, time 37.13ms, mfu 9.80%
iter 410: loss 1.8809, time 37.11ms, mfu 9.83%
iter 420: loss 1.8970, time 37.12ms, mfu 9.85%
iter 430: loss 1.8827, time 39.94ms, mfu 9.80%
iter 440: loss 1.8331, time 37.15ms, mfu 9.82%
iter 450: loss 1.8372, time 37.07ms, mfu 9.84%
iter 460: loss 1.7805, time 37.21ms, mfu 9.86%
