
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:39:43,608] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:43,864] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:44,258] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:44,475] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:44,925] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:45,141] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:45,469] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:45,686] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:46,012] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:46,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:46,552] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:39:46,768] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 15358.85ms, mfu -100.00%
iter 10: loss 3.3447, time 37.11ms, mfu 10.04%
iter 20: loss 2.9846, time 37.29ms, mfu 10.03%
iter 30: loss 2.7631, time 37.13ms, mfu 10.03%
iter 40: loss 2.6558, time 37.16ms, mfu 10.03%
iter 50: loss 2.5867, time 37.18ms, mfu 10.03%
iter 60: loss 2.5534, time 37.06ms, mfu 10.04%
iter 70: loss 2.5380, time 37.40ms, mfu 10.03%
iter 80: loss 2.5340, time 37.26ms, mfu 10.03%
iter 90: loss 2.4967, time 37.21ms, mfu 10.02%
iter 100: loss 2.4927, time 37.38ms, mfu 10.02%
iter 110: loss 2.4896, time 37.19ms, mfu 10.02%
iter 120: loss 2.4665, time 37.28ms, mfu 10.02%
iter 130: loss 2.4566, time 37.30ms, mfu 10.01%
iter 140: loss 2.4563, time 37.14ms, mfu 10.02%
iter 150: loss 2.4703, time 37.13ms, mfu 10.02%
iter 160: loss 2.4482, time 37.19ms, mfu 10.02%
iter 170: loss 2.4382, time 37.15ms, mfu 10.02%
iter 180: loss 2.4319, time 37.42ms, mfu 10.01%
iter 190: loss 2.4109, time 37.00ms, mfu 10.02%
iter 200: loss 2.3970, time 37.33ms, mfu 10.02%
iter 210: loss 2.3600, time 37.32ms, mfu 10.01%
iter 220: loss 2.3772, time 37.14ms, mfu 10.01%
iter 230: loss 2.3418, time 36.99ms, mfu 10.02%
iter 240: loss 2.3417, time 37.09ms, mfu 10.02%
step 250: train loss 2.2270, val loss 2.2757
saving checkpoint to perp
iter 250: loss 2.3035, time 6651.10ms, mfu 9.03%
iter 260: loss 2.2755, time 37.21ms, mfu 9.13%
iter 270: loss 2.2424, time 37.23ms, mfu 9.21%
iter 280: loss 2.2541, time 37.17ms, mfu 9.29%
iter 290: loss 2.1771, time 37.00ms, mfu 9.37%
iter 300: loss 2.1621, time 37.26ms, mfu 9.43%
iter 310: loss 2.1291, time 37.07ms, mfu 9.50%
iter 320: loss 2.1073, time 37.37ms, mfu 9.54%
iter 330: loss 2.0737, time 37.11ms, mfu 9.59%
iter 340: loss 2.0396, time 37.33ms, mfu 9.63%
