
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:47:26,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:26,847] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,238] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,907] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,450] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,988] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,534] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,753] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 15419.65ms, mfu -100.00%
iter 10: loss 3.3447, time 41.07ms, mfu 9.07%
iter 20: loss 2.9844, time 41.33ms, mfu 9.07%
iter 30: loss 2.7625, time 41.39ms, mfu 9.06%
iter 40: loss 2.6553, time 41.88ms, mfu 9.04%
iter 50: loss 2.5862, time 41.39ms, mfu 9.04%
iter 60: loss 2.5532, time 41.09ms, mfu 9.04%
iter 70: loss 2.5376, time 41.14ms, mfu 9.04%
iter 80: loss 2.5330, time 42.50ms, mfu 9.02%
iter 90: loss 2.4978, time 41.10ms, mfu 9.02%
iter 100: loss 2.4906, time 41.07ms, mfu 9.03%
iter 110: loss 2.4899, time 41.13ms, mfu 9.03%
iter 120: loss 2.4668, time 41.52ms, mfu 9.02%
iter 130: loss 2.4561, time 41.20ms, mfu 9.03%
iter 140: loss 2.4566, time 41.08ms, mfu 9.03%
iter 150: loss 2.4725, time 41.10ms, mfu 9.03%
iter 160: loss 2.4483, time 41.14ms, mfu 9.04%
iter 170: loss 2.4393, time 42.62ms, mfu 9.01%
iter 180: loss 2.4274, time 41.10ms, mfu 9.01%
iter 190: loss 2.4191, time 41.11ms, mfu 9.02%
iter 200: loss 2.4010, time 41.10ms, mfu 9.02%
iter 210: loss 2.3647, time 41.06ms, mfu 9.03%
iter 220: loss 2.3817, time 41.44ms, mfu 9.02%
iter 230: loss 2.3440, time 41.18ms, mfu 9.03%
iter 240: loss 2.3449, time 41.50ms, mfu 9.02%
step 250: train loss 2.2327, val loss 2.2774
saving checkpoint to perp
iter 250: loss 2.3041, time 6612.75ms, mfu 8.13%
iter 260: loss 2.2746, time 41.09ms, mfu 8.22%
iter 270: loss 2.2426, time 41.63ms, mfu 8.29%
iter 280: loss 2.2536, time 41.34ms, mfu 8.36%
iter 290: loss 2.1803, time 41.36ms, mfu 8.43%
iter 300: loss 2.1637, time 42.87ms, mfu 8.46%
iter 310: loss 2.1280, time 41.02ms, mfu 8.52%
iter 320: loss 2.1026, time 41.04ms, mfu 8.57%
iter 330: loss 2.0736, time 41.03ms, mfu 8.63%
iter 340: loss 2.0346, time 40.98ms, mfu 8.67%
iter 350: loss 2.0653, time 40.97ms, mfu 8.71%
iter 360: loss 2.0067, time 41.05ms, mfu 8.75%
iter 370: loss 1.9848, time 41.02ms, mfu 8.78%
