
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 21:53:13,451] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:13,729] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,441] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,883] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,097] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,420] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,633] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,974] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,185] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,712] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 15685.48ms, mfu -100.00%
iter 10: loss 3.3446, time 42.15ms, mfu 8.84%
iter 20: loss 2.9856, time 42.10ms, mfu 8.84%
iter 30: loss 2.7619, time 42.07ms, mfu 8.84%
iter 40: loss 2.6548, time 42.12ms, mfu 8.84%
iter 50: loss 2.5859, time 42.19ms, mfu 8.84%
iter 60: loss 2.5524, time 42.24ms, mfu 8.84%
iter 70: loss 2.5364, time 40.66ms, mfu 8.87%
iter 80: loss 2.5342, time 40.64ms, mfu 8.90%
iter 90: loss 2.4929, time 40.85ms, mfu 8.92%
iter 100: loss 2.4912, time 40.63ms, mfu 8.95%
iter 110: loss 2.4906, time 40.62ms, mfu 8.97%
iter 120: loss 2.4621, time 42.24ms, mfu 8.96%
iter 130: loss 2.4495, time 42.25ms, mfu 8.94%
iter 140: loss 2.4505, time 41.67ms, mfu 8.94%
