
step 0: train loss 7.2224, val loss 7.2210
[2023-09-30 00:28:33,649] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:33,919] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:34,336] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:34,553] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:35,007] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:35,227] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:35,561] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:35,781] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:36,111] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:36,331] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:36,662] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 00:28:36,880] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 7.1884, time 15935.61ms, mfu -100.00%
iter 10: loss 5.6744, time 47.18ms, mfu 8.19%
iter 20: loss 4.6861, time 43.73ms, mfu 8.25%
iter 30: loss 3.6567, time 48.25ms, mfu 8.23%
iter 40: loss 3.0327, time 43.76ms, mfu 8.29%
iter 50: loss 2.7490, time 43.76ms, mfu 8.34%
iter 60: loss 2.5895, time 43.66ms, mfu 8.39%
iter 70: loss 2.4521, time 45.00ms, mfu 8.41%
iter 80: loss 2.5368, time 43.77ms, mfu 8.45%
iter 90: loss 2.4299, time 43.89ms, mfu 8.49%
iter 100: loss 2.3027, time 45.17ms, mfu 8.49%
iter 110: loss 2.2337, time 43.63ms, mfu 8.53%
iter 120: loss 2.1801, time 48.36ms, mfu 8.47%
iter 130: loss 2.2094, time 44.10ms, mfu 8.50%
iter 140: loss 2.1302, time 44.76ms, mfu 8.52%
iter 150: loss 2.0285, time 43.89ms, mfu 8.54%
iter 160: loss 1.9379, time 50.40ms, mfu 8.46%
iter 170: loss 1.8951, time 43.71ms, mfu 8.49%
iter 180: loss 1.8531, time 44.07ms, mfu 8.52%
iter 190: loss 1.8302, time 43.67ms, mfu 8.55%
iter 200: loss 1.8519, time 43.69ms, mfu 8.58%
iter 210: loss 1.8389, time 44.07ms, mfu 8.60%
iter 220: loss 1.7809, time 47.72ms, mfu 8.55%
iter 230: loss 1.8197, time 47.39ms, mfu 8.51%
iter 240: loss 1.7883, time 47.88ms, mfu 8.47%
step 250: train loss 1.6533, val loss 1.8726
saving checkpoint to perliment_out
iter 250: loss 1.6717, time 6990.08ms, mfu 7.62%
iter 260: loss 1.7523, time 45.08ms, mfu 7.72%
iter 270: loss 1.7168, time 45.04ms, mfu 7.80%
iter 280: loss 1.5986, time 43.45ms, mfu 7.91%
iter 290: loss 1.7520, time 46.52ms, mfu 7.95%
iter 300: loss 1.5779, time 43.49ms, mfu 8.04%
iter 310: loss 1.6262, time 46.94ms, mfu 8.06%
iter 320: loss 1.6060, time 43.87ms, mfu 8.14%
iter 330: loss 1.6337, time 45.03ms, mfu 8.18%
iter 340: loss 1.6026, time 50.25ms, mfu 8.13%
iter 350: loss 1.5720, time 43.86ms, mfu 8.20%
iter 360: loss 1.5346, time 43.49ms, mfu 8.27%
iter 370: loss 1.5963, time 53.27ms, mfu 8.17%
iter 380: loss 1.4984, time 43.75ms, mfu 8.23%
iter 390: loss 1.6069, time 43.45ms, mfu 8.30%
iter 400: loss 1.5330, time 50.11ms, mfu 8.24%
iter 410: loss 1.5021, time 44.09ms, mfu 8.29%
iter 420: loss 1.5470, time 45.06ms, mfu 8.32%
iter 430: loss 1.5284, time 43.54ms, mfu 8.37%
iter 440: loss 1.4875, time 47.18ms, mfu 8.36%
iter 450: loss 1.5515, time 43.59ms, mfu 8.41%
iter 460: loss 1.5202, time 44.90ms, mfu 8.43%
iter 470: loss 1.5731, time 45.20ms, mfu 8.44%
iter 480: loss 1.5309, time 43.55ms, mfu 8.48%
iter 490: loss 1.4478, time 43.83ms, mfu 8.51%
step 500: train loss 1.4435, val loss 1.6363
saving checkpoint to perliment_out
iter 500: loss 1.5106, time 5334.89ms, mfu 7.67%
iter 510: loss 1.4524, time 43.71ms, mfu 7.79%
iter 520: loss 1.4822, time 45.02ms, mfu 7.87%
iter 530: loss 1.4584, time 45.21ms, mfu 7.93%
iter 540: loss 1.4424, time 43.73ms, mfu 8.02%
iter 550: loss 1.4411, time 45.47ms, mfu 8.07%
iter 560: loss 1.6073, time 43.67ms, mfu 8.15%
iter 570: loss 1.5778, time 43.67ms, mfu 8.22%
iter 580: loss 1.4709, time 43.84ms, mfu 8.28%
iter 590: loss 1.5465, time 50.31ms, mfu 8.22%
iter 600: loss 1.4325, time 43.87ms, mfu 8.28%
iter 610: loss 1.4235, time 43.88ms, mfu 8.33%
