
step 0: train loss 7.2224, val loss 7.2210
[2023-09-30 01:08:43,982] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:44,556] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:45,282] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:45,519] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:45,986] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:46,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:46,537] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:46,757] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:47,085] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:47,303] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:47,666] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:08:47,888] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 7.1736, time 17275.27ms, mfu -100.00%
iter 10: loss 5.7724, time 44.25ms, mfu 8.73%
iter 20: loss 4.9033, time 53.57ms, mfu 8.58%
iter 30: loss 3.7675, time 54.03ms, mfu 8.43%
iter 40: loss 3.0611, time 53.58ms, mfu 8.31%
iter 50: loss 2.7521, time 45.33ms, mfu 8.33%
iter 60: loss 2.5877, time 45.07ms, mfu 8.36%
iter 70: loss 2.4589, time 52.58ms, mfu 8.25%
iter 80: loss 2.5552, time 44.03ms, mfu 8.31%
iter 90: loss 2.4389, time 44.86ms, mfu 8.34%
iter 100: loss 2.3595, time 54.35ms, mfu 8.21%
iter 110: loss 2.2574, time 54.34ms, mfu 8.10%
iter 120: loss 2.2502, time 56.45ms, mfu 7.98%
iter 130: loss 2.3218, time 44.26ms, mfu 8.05%
iter 140: loss 2.2107, time 51.70ms, mfu 7.99%
iter 150: loss 2.1342, time 51.94ms, mfu 7.94%
iter 160: loss 2.0519, time 44.67ms, mfu 8.01%
iter 170: loss 2.0531, time 51.46ms, mfu 7.96%
iter 180: loss 1.9704, time 51.90ms, mfu 7.91%
iter 190: loss 1.9389, time 52.20ms, mfu 7.86%
iter 200: loss 1.9722, time 45.06ms, mfu 7.93%
iter 210: loss 1.9385, time 50.36ms, mfu 7.90%
iter 220: loss 1.8875, time 44.01ms, mfu 7.99%
iter 230: loss 1.9101, time 50.87ms, mfu 7.95%
iter 240: loss 1.9107, time 50.77ms, mfu 7.92%
step 250: train loss 1.8233, val loss 2.0423
saving checkpoint to perliment_out2
iter 250: loss 1.7952, time 7365.56ms, mfu 7.13%
iter 260: loss 1.8736, time 51.10ms, mfu 7.17%
iter 270: loss 1.8247, time 51.10ms, mfu 7.21%
iter 280: loss 1.7414, time 52.79ms, mfu 7.22%
iter 290: loss 1.8888, time 55.13ms, mfu 7.20%
iter 300: loss 1.7066, time 51.43ms, mfu 7.23%
iter 310: loss 1.7791, time 53.75ms, mfu 7.23%
iter 320: loss 1.7671, time 44.22ms, mfu 7.38%
iter 330: loss 1.7689, time 50.36ms, mfu 7.41%
iter 340: loss 1.7396, time 44.20ms, mfu 7.54%
iter 350: loss 1.7147, time 51.59ms, mfu 7.53%
iter 360: loss 1.6604, time 51.09ms, mfu 7.54%
iter 370: loss 1.7190, time 51.33ms, mfu 7.54%
iter 380: loss 1.6223, time 43.96ms, mfu 7.66%
iter 390: loss 1.7128, time 50.03ms, mfu 7.67%
iter 400: loss 1.6572, time 44.01ms, mfu 7.78%
iter 410: loss 1.6046, time 51.34ms, mfu 7.75%
iter 420: loss 1.6541, time 51.20ms, mfu 7.73%
iter 430: loss 1.6333, time 52.79ms, mfu 7.69%
iter 440: loss 1.5915, time 43.99ms, mfu 7.80%
iter 450: loss 1.6592, time 51.77ms, mfu 7.76%
iter 460: loss 1.6129, time 49.57ms, mfu 7.77%
iter 470: loss 1.6588, time 53.70ms, mfu 7.71%
iter 480: loss 1.6140, time 44.09ms, mfu 7.81%
iter 490: loss 1.5429, time 44.24ms, mfu 7.91%
step 500: train loss 1.5661, val loss 1.7851
saving checkpoint to perliment_out2
iter 500: loss 1.5955, time 5816.95ms, mfu 7.12%
iter 510: loss 1.5375, time 51.45ms, mfu 7.16%
iter 520: loss 1.5696, time 47.74ms, mfu 7.25%
iter 530: loss 1.5484, time 49.61ms, mfu 7.31%
iter 540: loss 1.5277, time 51.95ms, mfu 7.32%
iter 550: loss 1.5344, time 54.56ms, mfu 7.30%
iter 560: loss 1.7036, time 59.11ms, mfu 7.22%
iter 570: loss 1.6743, time 46.21ms, mfu 7.33%
iter 580: loss 1.5563, time 51.40ms, mfu 7.35%
iter 590: loss 1.6285, time 50.90ms, mfu 7.37%
iter 600: loss 1.5279, time 53.03ms, mfu 7.37%
iter 610: loss 1.5222, time 54.39ms, mfu 7.34%
iter 620: loss 1.5683, time 54.24ms, mfu 7.32%
iter 630: loss 1.5761, time 49.83ms, mfu 7.36%
iter 640: loss 1.5120, time 44.09ms, mfu 7.50%
iter 650: loss 1.6222, time 51.52ms, mfu 7.50%
iter 660: loss 1.6057, time 51.18ms, mfu 7.50%
iter 670: loss 1.5410, time 51.66ms, mfu 7.50%
iter 680: loss 1.5148, time 54.53ms, mfu 7.46%
iter 690: loss 1.5286, time 55.14ms, mfu 7.41%
iter 700: loss 1.4938, time 51.57ms, mfu 7.42%
iter 710: loss 1.4981, time 50.28ms, mfu 7.45%
iter 720: loss 1.4825, time 51.79ms, mfu 7.45%
iter 730: loss 1.4970, time 47.83ms, mfu 7.51%
iter 740: loss 1.4215, time 51.96ms, mfu 7.50%
step 750: train loss 1.4652, val loss 1.6754
saving checkpoint to perliment_out2
iter 750: loss 1.5598, time 5750.14ms, mfu 6.76%
iter 760: loss 1.5320, time 46.65ms, mfu 6.91%
iter 770: loss 1.4979, time 54.32ms, mfu 6.93%
iter 780: loss 1.4970, time 53.76ms, mfu 6.96%
iter 790: loss 1.6206, time 60.03ms, mfu 6.90%
iter 800: loss 1.6024, time 44.07ms, mfu 7.09%
iter 810: loss 1.3953, time 55.62ms, mfu 7.08%
iter 820: loss 1.4760, time 45.97ms, mfu 7.21%
iter 830: loss 1.4857, time 45.92ms, mfu 7.33%
iter 840: loss 1.4669, time 53.93ms, mfu 7.31%
iter 850: loss 1.4613, time 54.93ms, mfu 7.28%
iter 860: loss 1.4350, time 53.67ms, mfu 7.28%
iter 870: loss 1.5472, time 44.39ms, mfu 7.42%
iter 880: loss 1.4243, time 47.07ms, mfu 7.50%
iter 890: loss 1.4994, time 52.08ms, mfu 7.49%
iter 900: loss 1.4539, time 45.90ms, mfu 7.58%
iter 910: loss 1.5659, time 53.78ms, mfu 7.54%
iter 920: loss 1.5068, time 54.78ms, mfu 7.49%
iter 930: loss 1.5098, time 54.53ms, mfu 7.45%
iter 940: loss 1.3828, time 44.41ms, mfu 7.58%
iter 950: loss 1.5247, time 45.06ms, mfu 7.68%
iter 960: loss 1.5232, time 51.10ms, mfu 7.66%
iter 970: loss 1.4400, time 44.40ms, mfu 7.77%
iter 980: loss 1.5014, time 45.38ms, mfu 7.84%
iter 990: loss 1.4776, time 55.15ms, mfu 7.76%
step 1000: train loss 1.4493, val loss 1.6480
saving checkpoint to perliment_out2
iter 1000: loss 1.4979, time 5744.73ms, mfu 6.99%
iter 1010: loss 1.4509, time 51.57ms, mfu 7.04%
iter 1020: loss 1.4917, time 51.89ms, mfu 7.08%
iter 1030: loss 1.4425, time 53.26ms, mfu 7.10%
iter 1040: loss 1.4498, time 44.15ms, mfu 7.26%
iter 1050: loss 1.4625, time 50.82ms, mfu 7.30%
iter 1060: loss 1.4889, time 44.07ms, mfu 7.44%
iter 1070: loss 1.3824, time 52.48ms, mfu 7.43%
iter 1080: loss 1.4216, time 51.68ms, mfu 7.44%
iter 1090: loss 1.5135, time 52.39ms, mfu 7.43%
iter 1100: loss 1.4796, time 44.09ms, mfu 7.56%
iter 1110: loss 1.4330, time 50.45ms, mfu 7.57%
iter 1120: loss 1.4650, time 49.14ms, mfu 7.60%
iter 1130: loss 1.4885, time 52.61ms, mfu 7.58%
iter 1140: loss 1.4170, time 52.76ms, mfu 7.55%
iter 1150: loss 1.4282, time 51.92ms, mfu 7.54%
iter 1160: loss 1.4647, time 44.12ms, mfu 7.66%
iter 1170: loss 1.4447, time 53.54ms, mfu 7.62%
iter 1180: loss 1.4757, time 47.20ms, mfu 7.67%
iter 1190: loss 1.4053, time 51.62ms, mfu 7.65%
iter 1200: loss 1.4052, time 47.89ms, mfu 7.69%
iter 1210: loss 1.3996, time 54.91ms, mfu 7.63%
iter 1220: loss 1.4759, time 54.23ms, mfu 7.58%
iter 1230: loss 1.4185, time 57.26ms, mfu 7.49%
iter 1240: loss 1.3299, time 45.01ms, mfu 7.60%
step 1250: train loss 1.3749, val loss 1.5541
saving checkpoint to perliment_out2
iter 1250: loss 1.4138, time 5748.20ms, mfu 6.85%
iter 1260: loss 1.3040, time 45.19ms, mfu 7.02%
iter 1270: loss 1.4469, time 50.54ms, mfu 7.08%
iter 1280: loss 1.4039, time 51.51ms, mfu 7.12%
iter 1290: loss 1.3740, time 45.07ms, mfu 7.27%
iter 1300: loss 1.4260, time 55.05ms, mfu 7.24%
iter 1310: loss 1.5411, time 55.31ms, mfu 7.22%
iter 1320: loss 1.3327, time 55.39ms, mfu 7.19%
iter 1330: loss 1.4702, time 45.19ms, mfu 7.33%
iter 1340: loss 1.4361, time 49.51ms, mfu 7.37%
iter 1350: loss 1.2659, time 52.92ms, mfu 7.37%
iter 1360: loss 1.3050, time 45.01ms, mfu 7.49%
iter 1370: loss 1.4159, time 54.26ms, mfu 7.45%
iter 1380: loss 1.2852, time 56.04ms, mfu 7.40%
iter 1390: loss 1.3632, time 55.86ms, mfu 7.35%
iter 1400: loss 1.3226, time 45.38ms, mfu 7.46%
iter 1410: loss 1.3758, time 45.15ms, mfu 7.57%
iter 1420: loss 1.4729, time 52.96ms, mfu 7.54%
iter 1430: loss 1.3359, time 45.35ms, mfu 7.64%
iter 1440: loss 1.3842, time 44.80ms, mfu 7.74%
iter 1450: loss 1.4508, time 54.48ms, mfu 7.67%
iter 1460: loss 1.3688, time 55.27ms, mfu 7.61%
iter 1470: loss 1.4801, time 55.13ms, mfu 7.55%
iter 1480: loss 1.3697, time 45.03ms, mfu 7.65%
iter 1490: loss 1.4380, time 51.13ms, mfu 7.64%
step 1500: train loss 1.3430, val loss 1.5219
saving checkpoint to perliment_out2
iter 1500: loss 1.3784, time 5741.03ms, mfu 6.88%
iter 1510: loss 1.4189, time 54.07ms, mfu 6.91%
iter 1520: loss 1.3588, time 51.80ms, mfu 6.96%
iter 1530: loss 1.3958, time 48.51ms, mfu 7.06%
iter 1540: loss 1.4153, time 45.12ms, mfu 7.21%
iter 1550: loss 1.3667, time 53.04ms, mfu 7.22%
iter 1560: loss 1.4108, time 49.98ms, mfu 7.27%
iter 1570: loss 1.3923, time 54.29ms, mfu 7.25%
iter 1580: loss 1.3244, time 45.17ms, mfu 7.38%
iter 1590: loss 1.3786, time 50.07ms, mfu 7.42%
iter 1600: loss 1.4245, time 50.63ms, mfu 7.44%
iter 1610: loss 1.3495, time 52.07ms, mfu 7.44%
iter 1620: loss 1.3904, time 50.31ms, mfu 7.46%
iter 1630: loss 1.2670, time 53.04ms, mfu 7.44%
iter 1640: loss 1.3723, time 55.19ms, mfu 7.40%
iter 1650: loss 1.3736, time 53.78ms, mfu 7.38%
iter 1660: loss 1.4179, time 45.81ms, mfu 7.48%
iter 1670: loss 1.5112, time 52.57ms, mfu 7.47%
iter 1680: loss 1.2975, time 52.14ms, mfu 7.46%
iter 1690: loss 1.3871, time 51.78ms, mfu 7.46%
iter 1700: loss 1.4129, time 44.33ms, mfu 7.59%
iter 1710: loss 1.3922, time 52.09ms, mfu 7.57%
iter 1720: loss 1.4386, time 56.27ms, mfu 7.50%
iter 1730: loss 1.2485, time 53.58ms, mfu 7.47%
iter 1740: loss 1.3624, time 49.88ms, mfu 7.50%
step 1750: train loss 1.2996, val loss 1.4807
saving checkpoint to perliment_out2
iter 1750: loss 1.3884, time 5854.98ms, mfu 6.75%
iter 1760: loss 1.4446, time 52.22ms, mfu 6.82%
iter 1770: loss 1.3963, time 54.95ms, mfu 6.84%
iter 1780: loss 1.2831, time 56.42ms, mfu 6.84%
iter 1790: loss 1.3771, time 52.80ms, mfu 6.89%
iter 1800: loss 1.3390, time 54.16ms, mfu 6.91%
iter 1810: loss 1.4144, time 54.75ms, mfu 6.93%
iter 1820: loss 1.3631, time 50.81ms, mfu 6.99%
iter 1830: loss 1.4268, time 53.21ms, mfu 7.02%
iter 1840: loss 1.3432, time 52.56ms, mfu 7.05%
iter 1850: loss 1.4631, time 52.19ms, mfu 7.09%
iter 1860: loss 1.3946, time 51.87ms, mfu 7.12%
iter 1870: loss 1.3063, time 52.10ms, mfu 7.15%
iter 1880: loss 1.3465, time 52.33ms, mfu 7.18%
iter 1890: loss 1.2882, time 52.55ms, mfu 7.19%
iter 1900: loss 1.3845, time 51.56ms, mfu 7.22%
iter 1910: loss 1.3104, time 53.83ms, mfu 7.22%
iter 1920: loss 1.3504, time 51.31ms, mfu 7.25%
iter 1930: loss 1.3592, time 52.16ms, mfu 7.26%
iter 1940: loss 1.4110, time 53.53ms, mfu 7.26%
iter 1950: loss 1.4548, time 54.44ms, mfu 7.24%
iter 1960: loss 1.3040, time 51.11ms, mfu 7.27%
iter 1970: loss 1.4050, time 53.18ms, mfu 7.27%
iter 1980: loss 1.3120, time 52.93ms, mfu 7.28%
iter 1990: loss 1.3937, time 52.70ms, mfu 7.28%
step 2000: train loss 1.2997, val loss 1.4725
saving checkpoint to perliment_out2
iter 2000: loss 1.2669, time 5836.42ms, mfu 6.56%
iter 2010: loss 1.3818, time 53.22ms, mfu 6.63%
iter 2020: loss 1.3251, time 50.76ms, mfu 6.73%
iter 2030: loss 1.3160, time 54.33ms, mfu 6.77%
iter 2040: loss 1.4039, time 52.37ms, mfu 6.83%
iter 2050: loss 1.3237, time 52.59ms, mfu 6.88%
iter 2060: loss 1.3844, time 50.72ms, mfu 6.95%
iter 2070: loss 1.3557, time 51.42ms, mfu 7.01%
iter 2080: loss 1.3884, time 53.48ms, mfu 7.03%
iter 2090: loss 1.3311, time 55.03ms, mfu 7.03%
iter 2100: loss 1.2303, time 55.24ms, mfu 7.02%
iter 2110: loss 1.3649, time 55.20ms, mfu 7.02%
iter 2120: loss 1.3203, time 53.12ms, mfu 7.05%
iter 2130: loss 1.3589, time 51.27ms, mfu 7.10%
iter 2140: loss 1.3018, time 53.43ms, mfu 7.11%
iter 2150: loss 1.3845, time 46.13ms, mfu 7.24%
iter 2160: loss 1.3893, time 53.82ms, mfu 7.23%
iter 2170: loss 1.3450, time 54.67ms, mfu 7.21%
iter 2180: loss 1.3741, time 55.31ms, mfu 7.19%
iter 2190: loss 1.2830, time 47.08ms, mfu 7.29%
iter 2200: loss 1.3100, time 55.84ms, mfu 7.25%
iter 2210: loss 1.3063, time 52.59ms, mfu 7.26%
iter 2220: loss 1.3388, time 47.29ms, mfu 7.35%
iter 2230: loss 1.2464, time 50.37ms, mfu 7.38%
iter 2240: loss 1.3491, time 52.29ms, mfu 7.38%
step 2250: train loss 1.2750, val loss 1.4640
saving checkpoint to perliment_out2
iter 2250: loss 1.2344, time 5879.02ms, mfu 6.65%
iter 2260: loss 1.2704, time 52.49ms, mfu 6.72%
iter 2270: loss 1.3177, time 51.20ms, mfu 6.81%
iter 2280: loss 1.3702, time 52.58ms, mfu 6.86%
iter 2290: loss 1.3564, time 53.02ms, mfu 6.90%
iter 2300: loss 1.3655, time 53.91ms, mfu 6.93%
iter 2310: loss 1.2906, time 55.75ms, mfu 6.93%
iter 2320: loss 1.2317, time 56.91ms, mfu 6.91%
iter 2330: loss 1.2538, time 56.04ms, mfu 6.91%
iter 2340: loss 1.3936, time 48.26ms, mfu 7.02%
iter 2350: loss 1.2772, time 53.09ms, mfu 7.05%
iter 2360: loss 1.3230, time 52.09ms, mfu 7.08%
iter 2370: loss 1.2936, time 51.11ms, mfu 7.13%
iter 2380: loss 1.2455, time 46.89ms, mfu 7.24%
iter 2390: loss 1.2298, time 53.98ms, mfu 7.23%
