
step 0: train loss 7.2224, val loss 7.2210
[2023-09-30 01:18:52,375] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:52,623] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:53,130] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:53,357] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:53,848] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:54,068] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:54,400] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:54,620] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:54,951] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:55,170] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:55,507] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:18:55,763] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 7.1736, time 16216.16ms, mfu -100.00%
iter 10: loss 5.3374, time 47.14ms, mfu 8.19%
iter 20: loss 3.9024, time 47.24ms, mfu 8.19%
iter 30: loss 3.2442, time 49.83ms, mfu 8.15%
iter 40: loss 2.9362, time 46.78ms, mfu 8.16%
iter 50: loss 2.7341, time 39.76ms, mfu 8.31%
iter 60: loss 2.6022, time 40.20ms, mfu 8.44%
iter 70: loss 2.5200, time 50.73ms, mfu 8.36%
iter 80: loss 2.5962, time 51.27ms, mfu 8.28%
iter 90: loss 2.5173, time 46.22ms, mfu 8.28%
iter 100: loss 2.3948, time 50.44ms, mfu 8.22%
iter 110: loss 2.3759, time 47.18ms, mfu 8.22%
iter 120: loss 2.3144, time 47.55ms, mfu 8.21%
iter 130: loss 2.3598, time 50.23ms, mfu 8.16%
iter 140: loss 2.2662, time 49.83ms, mfu 8.12%
iter 150: loss 2.2069, time 39.61ms, mfu 8.28%
iter 160: loss 2.1345, time 40.32ms, mfu 8.41%
iter 170: loss 2.0907, time 50.46ms, mfu 8.33%
iter 180: loss 2.0401, time 51.36ms, mfu 8.25%
iter 190: loss 2.0199, time 50.00ms, mfu 8.20%
iter 200: loss 2.0448, time 49.54ms, mfu 8.16%
iter 210: loss 2.0376, time 54.36ms, mfu 8.05%
iter 220: loss 1.9554, time 47.34ms, mfu 8.06%
iter 230: loss 1.9894, time 50.19ms, mfu 8.03%
iter 240: loss 1.9850, time 50.47ms, mfu 7.99%
step 250: train loss 1.8570, val loss 2.0606
saving checkpoint to perliment_out2
iter 250: loss 1.8644, time 7598.82ms, mfu 7.20%
iter 260: loss 1.9402, time 48.63ms, mfu 7.27%
iter 270: loss 1.9036, time 52.14ms, mfu 7.28%
iter 280: loss 1.8170, time 48.57ms, mfu 7.35%
iter 290: loss 1.9327, time 39.73ms, mfu 7.59%
iter 300: loss 1.7678, time 47.40ms, mfu 7.64%
iter 310: loss 1.8089, time 49.78ms, mfu 7.66%
iter 320: loss 1.8056, time 47.05ms, mfu 7.71%
iter 330: loss 1.8147, time 44.97ms, mfu 7.80%
iter 340: loss 1.7893, time 48.13ms, mfu 7.82%
iter 350: loss 1.7579, time 48.85ms, mfu 7.83%
iter 360: loss 1.6950, time 49.45ms, mfu 7.83%
iter 370: loss 1.7638, time 40.16ms, mfu 8.01%
iter 380: loss 1.6747, time 47.61ms, mfu 8.02%
iter 390: loss 1.7564, time 49.29ms, mfu 8.00%
iter 400: loss 1.7202, time 45.60ms, mfu 8.05%
iter 410: loss 1.6466, time 47.95ms, mfu 8.05%
iter 420: loss 1.6863, time 47.67ms, mfu 8.05%
iter 430: loss 1.6637, time 49.39ms, mfu 8.03%
iter 440: loss 1.6526, time 49.35ms, mfu 8.01%
iter 450: loss 1.6862, time 39.82ms, mfu 8.18%
iter 460: loss 1.6543, time 48.45ms, mfu 8.16%
iter 470: loss 1.6916, time 50.97ms, mfu 8.10%
iter 480: loss 1.6401, time 46.31ms, mfu 8.12%
iter 490: loss 1.5794, time 49.19ms, mfu 8.10%
step 500: train loss 1.5848, val loss 1.7637
saving checkpoint to perliment_out2
iter 500: loss 1.6224, time 5970.44ms, mfu 7.29%
iter 510: loss 1.5715, time 51.35ms, mfu 7.32%
iter 520: loss 1.5963, time 50.52ms, mfu 7.35%
iter 530: loss 1.5738, time 39.90ms, mfu 7.58%
iter 540: loss 1.5511, time 40.63ms, mfu 7.77%
iter 550: loss 1.5525, time 48.73ms, mfu 7.79%
iter 560: loss 1.7331, time 51.86ms, mfu 7.76%
iter 570: loss 1.6867, time 53.11ms, mfu 7.71%
iter 580: loss 1.6002, time 53.37ms, mfu 7.66%
iter 590: loss 1.6543, time 50.14ms, mfu 7.66%
iter 600: loss 1.5527, time 47.67ms, mfu 7.71%
iter 610: loss 1.5540, time 51.38ms, mfu 7.69%
iter 620: loss 1.6015, time 49.82ms, mfu 7.70%
iter 630: loss 1.5923, time 51.69ms, mfu 7.67%
iter 640: loss 1.5406, time 50.27ms, mfu 7.67%
iter 650: loss 1.6399, time 49.04ms, mfu 7.69%
iter 660: loss 1.6413, time 48.69ms, mfu 7.72%
iter 670: loss 1.5696, time 40.19ms, mfu 7.91%
iter 680: loss 1.5317, time 50.83ms, mfu 7.88%
iter 690: loss 1.5519, time 47.45ms, mfu 7.90%
iter 700: loss 1.5150, time 48.09ms, mfu 7.92%
iter 710: loss 1.5153, time 51.43ms, mfu 7.88%
iter 720: loss 1.5261, time 51.03ms, mfu 7.84%
iter 730: loss 1.5265, time 51.18ms, mfu 7.81%
iter 740: loss 1.4468, time 41.49ms, mfu 7.96%
step 750: train loss 1.5096, val loss 1.7055
saving checkpoint to perliment_out2
iter 750: loss 1.5797, time 5873.96ms, mfu 7.17%
iter 760: loss 1.5572, time 42.69ms, mfu 7.36%
iter 770: loss 1.5198, time 49.30ms, mfu 7.41%
iter 780: loss 1.5228, time 50.00ms, mfu 7.44%
iter 790: loss 1.6484, time 49.17ms, mfu 7.48%
iter 800: loss 1.6262, time 52.94ms, mfu 7.46%
iter 810: loss 1.4293, time 49.12ms, mfu 7.50%
iter 820: loss 1.5005, time 48.94ms, mfu 7.54%
iter 830: loss 1.5015, time 48.05ms, mfu 7.59%
iter 840: loss 1.4994, time 51.24ms, mfu 7.59%
iter 850: loss 1.4957, time 45.08ms, mfu 7.68%
iter 860: loss 1.4697, time 49.15ms, mfu 7.70%
iter 870: loss 1.5675, time 45.66ms, mfu 7.78%
iter 880: loss 1.4533, time 49.08ms, mfu 7.79%
iter 890: loss 1.5323, time 47.13ms, mfu 7.83%
iter 900: loss 1.4827, time 52.36ms, mfu 7.78%
iter 910: loss 1.6016, time 51.81ms, mfu 7.75%
iter 920: loss 1.5244, time 46.58ms, mfu 7.80%
iter 930: loss 1.5343, time 44.87ms, mfu 7.88%
iter 940: loss 1.3990, time 53.00ms, mfu 7.82%
iter 950: loss 1.5435, time 51.00ms, mfu 7.80%
iter 960: loss 1.5472, time 41.87ms, mfu 7.94%
iter 970: loss 1.4685, time 51.17ms, mfu 7.90%
iter 980: loss 1.5210, time 42.23ms, mfu 8.03%
iter 990: loss 1.5038, time 44.21ms, mfu 8.10%
step 1000: train loss 1.4404, val loss 1.6432
saving checkpoint to perliment_out2
iter 1000: loss 1.5130, time 5914.73ms, mfu 7.29%
iter 1010: loss 1.4612, time 47.12ms, mfu 7.38%
iter 1020: loss 1.5146, time 52.44ms, mfu 7.38%
iter 1030: loss 1.4736, time 53.69ms, mfu 7.36%
iter 1040: loss 1.4808, time 53.06ms, mfu 7.36%
iter 1050: loss 1.4992, time 49.39ms, mfu 7.40%
iter 1060: loss 1.5177, time 43.29ms, mfu 7.55%
iter 1070: loss 1.4179, time 47.58ms, mfu 7.61%
iter 1080: loss 1.4565, time 46.37ms, mfu 7.68%
iter 1090: loss 1.5305, time 48.24ms, mfu 7.71%
iter 1100: loss 1.4958, time 48.30ms, mfu 7.74%
iter 1110: loss 1.4627, time 52.63ms, mfu 7.70%
iter 1120: loss 1.4833, time 46.17ms, mfu 7.77%
iter 1130: loss 1.5157, time 39.83ms, mfu 7.96%
iter 1140: loss 1.4390, time 52.76ms, mfu 7.90%
iter 1150: loss 1.4573, time 53.79ms, mfu 7.83%
iter 1160: loss 1.4986, time 51.16ms, mfu 7.80%
iter 1170: loss 1.4690, time 47.46ms, mfu 7.83%
iter 1180: loss 1.4951, time 50.81ms, mfu 7.81%
iter 1190: loss 1.4272, time 48.48ms, mfu 7.82%
iter 1200: loss 1.4254, time 50.59ms, mfu 7.81%
iter 1210: loss 1.4209, time 45.27ms, mfu 7.88%
iter 1220: loss 1.4981, time 49.32ms, mfu 7.87%
iter 1230: loss 1.4416, time 54.24ms, mfu 7.80%
iter 1240: loss 1.3543, time 53.46ms, mfu 7.74%
