
step 0: train loss 7.2224, val loss 7.2210
[2023-09-30 01:22:06,040] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:06,289] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:06,707] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:06,954] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:07,424] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:07,651] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:07,983] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:08,210] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:08,554] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:08,773] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:09,121] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-30 01:22:09,351] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 7.1884, time 16004.56ms, mfu -100.00%
iter 10: loss 5.2286, time 49.33ms, mfu 7.83%
iter 20: loss 3.7652, time 45.03ms, mfu 7.90%
iter 30: loss 3.0620, time 48.25ms, mfu 7.91%
iter 40: loss 2.7945, time 53.24ms, mfu 7.85%
iter 50: loss 2.6700, time 53.37ms, mfu 7.79%
iter 60: loss 2.5647, time 53.38ms, mfu 7.73%
iter 70: loss 2.4797, time 48.60ms, mfu 7.75%
iter 80: loss 2.5918, time 47.38ms, mfu 7.79%
iter 90: loss 2.4987, time 48.21ms, mfu 7.82%
iter 100: loss 2.3708, time 48.47ms, mfu 7.83%
iter 110: loss 2.2794, time 49.62ms, mfu 7.83%
iter 120: loss 2.1986, time 46.75ms, mfu 7.87%
iter 130: loss 2.2351, time 46.12ms, mfu 7.92%
iter 140: loss 2.1876, time 46.79ms, mfu 7.95%
iter 150: loss 2.0650, time 44.70ms, mfu 8.02%
iter 160: loss 1.9890, time 50.47ms, mfu 7.98%
iter 170: loss 1.9849, time 48.63ms, mfu 7.98%
iter 180: loss 1.9120, time 52.30ms, mfu 7.92%
iter 190: loss 1.8969, time 49.83ms, mfu 7.90%
iter 200: loss 1.9190, time 53.79ms, mfu 7.83%
iter 210: loss 1.9001, time 48.25ms, mfu 7.85%
iter 220: loss 1.8787, time 45.83ms, mfu 7.91%
iter 230: loss 1.8942, time 42.31ms, mfu 8.03%
iter 240: loss 1.8587, time 48.13ms, mfu 8.03%
step 250: train loss 1.7093, val loss 1.9246
saving checkpoint to perliment_out2
iter 250: loss 1.7296, time 7595.60ms, mfu 7.23%
iter 260: loss 1.8204, time 51.45ms, mfu 7.26%
iter 270: loss 1.7744, time 53.04ms, mfu 7.26%
iter 280: loss 1.6726, time 52.82ms, mfu 7.27%
iter 290: loss 1.8238, time 43.35ms, mfu 7.43%
iter 300: loss 1.6151, time 49.97ms, mfu 7.46%
iter 310: loss 1.6516, time 42.82ms, mfu 7.62%
iter 320: loss 1.6452, time 48.28ms, mfu 7.65%
iter 330: loss 1.7141, time 52.17ms, mfu 7.63%
iter 340: loss 1.6621, time 47.28ms, mfu 7.68%
iter 350: loss 1.6075, time 46.63ms, mfu 7.74%
iter 360: loss 1.5581, time 48.73ms, mfu 7.76%
iter 370: loss 1.6134, time 46.74ms, mfu 7.81%
iter 380: loss 1.5054, time 50.15ms, mfu 7.80%
iter 390: loss 1.5958, time 51.07ms, mfu 7.78%
iter 400: loss 1.5439, time 50.57ms, mfu 7.76%
iter 410: loss 1.4839, time 49.61ms, mfu 7.77%
iter 420: loss 1.5388, time 43.57ms, mfu 7.87%
iter 430: loss 1.5116, time 45.94ms, mfu 7.93%
iter 440: loss 1.4682, time 48.65ms, mfu 7.93%
iter 450: loss 1.5166, time 47.31ms, mfu 7.95%
iter 460: loss 1.4939, time 49.36ms, mfu 7.94%
iter 470: loss 1.5433, time 50.56ms, mfu 7.91%
iter 480: loss 1.5024, time 40.21ms, mfu 8.08%
iter 490: loss 1.4313, time 39.95ms, mfu 8.24%
step 500: train loss 1.4411, val loss 1.6193
saving checkpoint to perliment_out2
iter 500: loss 1.4944, time 5962.79ms, mfu 7.42%
iter 510: loss 1.4313, time 49.99ms, mfu 7.45%
iter 520: loss 1.4512, time 52.69ms, mfu 7.44%
iter 530: loss 1.4269, time 53.88ms, mfu 7.41%
iter 540: loss 1.4109, time 49.11ms, mfu 7.46%
iter 550: loss 1.4036, time 46.99ms, mfu 7.53%
iter 560: loss 1.5705, time 49.24ms, mfu 7.56%
iter 570: loss 1.5468, time 49.36ms, mfu 7.59%
iter 580: loss 1.4343, time 46.39ms, mfu 7.66%
iter 590: loss 1.5195, time 39.90ms, mfu 7.87%
iter 600: loss 1.4279, time 39.99ms, mfu 8.04%
iter 610: loss 1.4061, time 51.18ms, mfu 7.99%
iter 620: loss 1.4500, time 51.18ms, mfu 7.95%
iter 630: loss 1.4558, time 49.23ms, mfu 7.94%
iter 640: loss 1.3917, time 52.38ms, mfu 7.88%
iter 650: loss 1.5031, time 49.37ms, mfu 7.88%
iter 660: loss 1.4949, time 49.70ms, mfu 7.87%
iter 670: loss 1.4216, time 40.42ms, mfu 8.04%
iter 680: loss 1.3935, time 47.86ms, mfu 8.04%
iter 690: loss 1.4428, time 50.44ms, mfu 8.00%
iter 700: loss 1.4009, time 52.23ms, mfu 7.94%
iter 710: loss 1.3970, time 46.80ms, mfu 7.97%
iter 720: loss 1.3644, time 39.82ms, mfu 8.14%
iter 730: loss 1.3725, time 44.04ms, mfu 8.21%
iter 740: loss 1.3089, time 47.87ms, mfu 8.19%
step 750: train loss 1.3482, val loss 1.5301
saving checkpoint to perliment_out2
iter 750: loss 1.4303, time 5791.66ms, mfu 7.38%
iter 760: loss 1.4024, time 52.61ms, mfu 7.38%
iter 770: loss 1.3762, time 52.45ms, mfu 7.38%
iter 780: loss 1.3832, time 51.40ms, mfu 7.39%
iter 790: loss 1.5021, time 39.99ms, mfu 7.62%
iter 800: loss 1.4630, time 39.84ms, mfu 7.82%
iter 810: loss 1.2817, time 49.45ms, mfu 7.82%
