
step 0: train loss 4.2874, val loss 4.2823
[2023-10-20 13:05:31,093] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:31,837] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:32,961] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,173] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,621] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,836] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,158] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,371] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,693] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,906] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,229] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2638, time 25831.10ms, mfu -100.00%
iter 10: loss 3.3447, time 40.81ms, mfu 9.13%
iter 20: loss 2.9850, time 40.81ms, mfu 9.13%
iter 30: loss 2.7625, time 40.73ms, mfu 9.13%
iter 40: loss 2.6551, time 40.81ms, mfu 9.13%
iter 50: loss 2.5860, time 43.35ms, mfu 9.08%
iter 60: loss 2.5529, time 43.42ms, mfu 9.03%
iter 70: loss 2.5371, time 43.34ms, mfu 8.99%
iter 80: loss 2.5339, time 42.05ms, mfu 8.97%
iter 90: loss 2.4942, time 40.97ms, mfu 8.99%
iter 100: loss 2.4915, time 40.82ms, mfu 9.00%
iter 110: loss 2.4881, time 40.82ms, mfu 9.01%
iter 120: loss 2.4623, time 40.79ms, mfu 9.03%
iter 130: loss 2.4539, time 40.75ms, mfu 9.04%
iter 140: loss 2.4531, time 42.31ms, mfu 9.01%
iter 150: loss 2.4662, time 43.38ms, mfu 8.97%
iter 160: loss 2.4411, time 42.50ms, mfu 8.95%
iter 170: loss 2.4328, time 41.10ms, mfu 8.96%
iter 180: loss 2.4225, time 42.56ms, mfu 8.94%
iter 190: loss 2.3967, time 59.24ms, mfu 8.68%
iter 200: loss 2.3879, time 41.11ms, mfu 8.72%
iter 210: loss 2.3800, time 41.13ms, mfu 8.75%
iter 220: loss 2.3781, time 47.19ms, mfu 8.66%
iter 230: loss 2.3221, time 40.89ms, mfu 8.71%
iter 240: loss 2.3122, time 43.50ms, mfu 8.70%
step 250: train loss 2.1925, val loss 2.2490
saving checkpoint to perp
iter 250: loss 2.2750, time 7626.56ms, mfu 7.83%
iter 260: loss 2.2303, time 43.33ms, mfu 7.91%
iter 270: loss 2.2007, time 40.95ms, mfu 8.03%
iter 280: loss 2.2087, time 41.21ms, mfu 8.13%
iter 290: loss 2.1397, time 40.72ms, mfu 8.23%
iter 300: loss 2.1255, time 40.75ms, mfu 8.32%
iter 310: loss 2.0987, time 43.26ms, mfu 8.35%
iter 320: loss 2.0709, time 40.75ms, mfu 8.43%
iter 330: loss 2.0359, time 40.73ms, mfu 8.50%
iter 340: loss 2.0049, time 40.82ms, mfu 8.56%
iter 350: loss 2.0347, time 40.74ms, mfu 8.62%
iter 360: loss 1.9751, time 43.43ms, mfu 8.62%
iter 370: loss 1.9490, time 41.88ms, mfu 8.65%
iter 380: loss 1.9348, time 43.38ms, mfu 8.64%
iter 390: loss 1.9411, time 43.28ms, mfu 8.64%
iter 400: loss 1.9510, time 42.55ms, mfu 8.65%
iter 410: loss 1.8918, time 43.34ms, mfu 8.64%
iter 420: loss 1.8967, time 43.43ms, mfu 8.64%
iter 430: loss 1.8843, time 43.59ms, mfu 8.63%
iter 440: loss 1.8381, time 41.08ms, mfu 8.67%
iter 450: loss 1.8361, time 41.02ms, mfu 8.71%
