2023-11-28 16:48:47,171 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Configure stats pid to 31585
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Loading settings from /global/home/users/njo/.config/wandb/settings
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Loading settings from /global/home/users/njo/nanoGPT/wandb/settings
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/global/home/users/njo/nanoGPT/train.py', 'program': 'train.py'}
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:_log_setup():524] Logging user logs to /global/home/users/njo/nanoGPT/wandb/run-20231128_164847-pabz5gle/logs/debug.log
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:_log_setup():525] Logging internal logs to /global/home/users/njo/nanoGPT/wandb/run-20231128_164847-pabz5gle/logs/debug-internal.log
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:init():564] calling init triggers
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-shakespeare-char', 'eval_interval': 250, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'shakespeare-char', 'wandb_run_name': 'mini-gpt', 'dataset': 'shakespeare_char', 'gradient_accumulation_steps': 1, 'batch_size': 64, 'block_size': 256, 'n_layer': 6, 'n_head': 6, 'n_embd': 384, 'dropout': 0.2, 'bias': False, 'learning_rate': 0.001, 'max_iters': 100, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': True}
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:init():614] starting backend
2023-11-28 16:48:47,172 INFO    MainThread:31585 [wandb_init.py:init():618] setting up manager
2023-11-28 16:48:47,174 INFO    MainThread:31585 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-28 16:48:47,177 INFO    MainThread:31585 [wandb_init.py:init():624] backend started and connected
2023-11-28 16:48:47,181 INFO    MainThread:31585 [wandb_init.py:init():716] updated telemetry
2023-11-28 16:48:47,228 INFO    MainThread:31585 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-28 16:48:47,621 INFO    MainThread:31585 [wandb_run.py:_on_init():2254] communicating current version
2023-11-28 16:48:47,652 INFO    MainThread:31585 [wandb_run.py:_on_init():2263] got version response 
2023-11-28 16:48:47,652 INFO    MainThread:31585 [wandb_init.py:init():800] starting run threads in backend
2023-11-28 16:48:53,011 INFO    MainThread:31585 [wandb_run.py:_console_start():2233] atexit reg
2023-11-28 16:48:53,011 INFO    MainThread:31585 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-28 16:48:53,011 INFO    MainThread:31585 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-28 16:48:53,011 INFO    MainThread:31585 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-28 16:48:53,012 INFO    MainThread:31585 [wandb_init.py:init():841] run started, returning control to user process
2023-11-28 16:49:43,765 WARNING MsgRouterThr:31585 [router.py:message_loop():77] message_loop has been closed
